taxlevel	rankID	taxon	daughterlevels	total	00_SrnOcean_DCM	01_SrnOcean_SURF	02_SrnOcean_MESO	03_SPac_DCM	04_SPac_SURF	05_SPac_MESO	06_NPac_DCM	07_NPac_MESO	08_NPac_SURF	09_NAtl_SURF	10_AraSea_MESO
0	0	Root	4	110000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
1	0.1	Archaea	4	6384	9	0	1019	303	314	1595	734	1185	111	443	671
1	0.2	Bacteria	25	96453	8718	9425	8002	9292	9367	7964	8356	8042	9576	9085	8626
1	0.3	Eukaryota	7	3934	1074	406	704	179	105	179	493	475	140	167	12
1	0.4	unknown	1	3229	199	169	275	226	214	262	417	298	173	305	691
2	0.1.1	Archaea_unclassified	1	832	1	0	95	38	45	145	127	135	18	56	172
2	0.1.2	Crenarchaeota	1	1	0	0	0	0	0	0	0	0	0	0	1
2	0.1.3	Euryarchaeota	4	2246	7	0	270	257	269	195	490	213	93	254	198
2	0.1.4	Thaumarchaeota	5	3305	1	0	654	8	0	1255	117	837	0	133	300
2	0.2.1	Acidobacteria	2	82	0	0	18	0	0	18	0	21	0	0	25
2	0.2.2	Actinobacteria	3	3163	2	2	259	386	424	439	414	269	271	337	360
2	0.2.3	BD1-5	1	6	0	0	2	0	0	0	0	2	0	0	2
2	0.2.4	BHI80-139	1	2	0	0	0	0	0	0	0	0	0	0	2
2	0.2.5	Bacteria_unclassified	1	18297	1290	1142	1548	1443	1259	1641	1650	1835	1396	1563	3530
2	0.2.6	Bacteroidetes	6	8440	1747	2081	807	256	749	412	683	198	556	913	38
2	0.2.7	Candidate_division_OD1	1	11	0	0	0	0	0	1	0	2	0	0	8
2	0.2.8	Candidate_division_OP11	1	2	0	0	0	0	0	0	0	0	0	0	2
2	0.2.9	Candidate_division_OP3	1	7	0	0	0	0	0	0	0	0	0	0	7
2	0.2.10	Candidate_division_OP8	1	1	0	0	0	0	0	0	0	0	0	0	1
2	0.2.11	Candidate_division_TM7	1	39	0	0	0	3	1	12	8	14	0	0	1
2	0.2.12	Chlamydiae	1	11	0	0	0	1	4	2	0	2	0	0	2
2	0.2.13	Chlorobi	1	1	0	0	0	0	0	0	0	0	1	0	0
2	0.2.14	Chloroflexi	4	696	0	0	138	78	2	76	27	144	0	13	218
2	0.2.15	Cyanobacteria	3	7039	230	247	31	772	1424	273	838	8	2160	1054	2
2	0.2.16	Deferribacteres	1	3192	1	0	289	361	366	337	635	328	173	231	471
2	0.2.17	Firmicutes	4	56	0	0	44	0	0	2	3	5	0	2	0
2	0.2.18	Gemmatimonadetes	1	176	0	0	54	6	0	57	0	44	0	1	14
2	0.2.19	Lentisphaerae	4	49	0	0	38	1	0	3	0	6	0	1	0
2	0.2.20	Planctomycetes	4	627	0	0	74	37	23	38	8	39	8	7	393
2	0.2.21	Proteobacteria	8	54007	5448	5953	4532	5920	5077	4585	4031	5029	4972	4926	3534
2	0.2.22	Spirochaetae	1	7	0	0	1	0	0	0	0	1	1	0	4
2	0.2.23	TM6	1	2	0	0	0	0	0	0	0	0	0	0	2
2	0.2.24	Tenericutes	1	1	0	0	0	0	0	1	0	0	0	0	0
2	0.2.25	Verrucomicrobia	4	539	0	0	167	28	38	67	59	95	38	37	10
2	0.3.1	Archaeplastida	3	65	9	6	8	6	2	2	16	4	5	7	0
2	0.3.2	Cryptophyceae	1	3	2	0	0	0	0	0	0	0	0	1	0
2	0.3.3	Eukaryota_unclassified	1	2226	345	177	473	133	47	134	331	405	90	83	8
2	0.3.4	Excavata	1	7	0	0	3	0	1	0	1	1	1	0	0
2	0.3.5	Haptophyta	1	811	613	122	28	6	13	2	12	1	7	7	0
2	0.3.6	Opisthokonta	3	141	9	5	56	7	7	6	23	6	2	17	3
2	0.3.7	SAR	4	681	96	96	136	27	35	35	110	58	35	52	1
2	0.4.1	unknown_unclassified	1	3229	199	169	275	226	214	262	417	298	173	305	691
3	0.1.1.1	Archaea_unclassified	1	832	1	0	95	38	45	145	127	135	18	56	172
3	0.1.2.1	Thermoprotei	1	1	0	0	0	0	0	0	0	0	0	0	1
3	0.1.3.1	Euryarchaeota_unclassified	1	1672	6	0	188	184	215	143	393	167	76	211	89
3	0.1.3.2	Halobacteria	1	120	0	0	4	32	0	1	0	4	0	0	79
3	0.1.3.3	Methanomicrobia	2	23	0	0	5	1	1	2	4	2	1	7	0
3	0.1.3.4	Thermoplasmata	2	431	1	0	73	40	53	49	93	40	16	36	30
3	0.1.4.1	Marine_Group_I	2	2690	1	0	567	7	0	1007	101	660	0	125	222
3	0.1.4.2	Miscellaneous_Crenarchaeotic_Group	1	1	0	0	0	0	0	0	0	0	0	0	1
